"","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time"
"1","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726677361,1,11882,210,156,"Half","right","English",NA,5,4,439100
"2","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726684300,2,6937,219,210,"Half","right","English",NA,5,4,439100
"3","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726692791,3,8490,214,219,"Half","right","English",NA,5,4,439100
"4","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726696742,4,3950,214,211,"Half","left","English",NA,5,4,439100
"5","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726700270,5,3527,209,214,"Half","right","English",NA,5,4,439100
"6","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726703938,6,3667,225,209,"Half","left","English",NA,5,4,439100
"7","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726711248,7,7308,149,225,"Half","left","English",NA,5,4,439100
"8","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726716613,8,5364,158,149,"Half","left","English",NA,5,4,439100
"9","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726722129,9,5515,140,158,"Half","left","English",NA,5,4,439100
"10","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726725233,10,3102,140,101,"Half","right","English",NA,5,4,439100
"11","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726728109,11,2876,153,140,"Half","left","English",NA,5,4,439100
"12","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726730136,12,2025,153,425,"Half","right","English",NA,5,4,439100
"13","A1FYTTGF0QACU9:3F6KKYWMNC93NQ17NI20TOD6B9CDNX",1474726736138,13,6000,128,153,"Half","left","English",NA,5,4,439100
